round,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1,test_loss
0,0.1072825406758448,0.10797476770758253,0.04717693823442301,0.03392779161688048,0.05525415063870285,0.05523340373116236,0.04717693823442301,0.03392779161688048,0.028659843887302288,0.028607371350240572,2.406644105911255
1,0.7736512158054711,0.7732222576085195,0.3987159936052651,0.39986234959302136,0.45738848176652996,0.46836255423698403,0.3987159936052651,0.39986234959302136,0.3323863466909486,0.3340400532750012,0.5269540548324585
2,0.7761487573752905,0.77576448370461,0.40287048116309454,0.40421934314380836,0.46482781515915994,0.47531329293548785,0.40287048116309454,0.40421934314380836,0.3375636192650525,0.339705584203302,0.5058606863021851
3,0.7989059985696406,0.7989909317957056,0.4225916639684262,0.42173207495493004,0.4804207786103888,0.4837576621041709,0.4225916639684262,0.42173207495493004,0.38021825575920376,0.380074001127362,0.5044804811477661
4,0.8003419452887538,0.7999240125826224,0.4198037767399118,0.4169334759596801,0.49440571136206457,0.49291790293193943,0.4198037767399118,0.4169334759596801,0.3775924428489807,0.3736864323737302,0.48639872670173645
5,0.805661094224924,0.8049525916737905,0.43555571541608595,0.4349837945622229,0.4912017135439539,0.492817817195913,0.43555571541608595,0.4349837945622229,0.40264009403506223,0.4024944661248389,0.4778296947479248
6,0.8042977829429644,0.8044106225939646,0.43745533343691767,0.4376215800732767,0.5064966707451185,0.5090841212064805,0.43745533343691767,0.4376215800732767,0.4004965206348847,0.4006120390908785,0.46636325120925903
7,0.8064936080815305,0.80650027657185,0.4394842758015787,0.43952649297267093,0.50336552461661,0.5063712374092694,0.4394842758015787,0.43952649297267093,0.40530572046076363,0.40620792594480915,0.46182557940483093
8,0.806929420704452,0.8061538633455695,0.44205020113839155,0.44084934148839877,0.49676480193079675,0.5000928368972232,0.44205020113839155,0.44084934148839877,0.41204780820588693,0.4116313498837287,0.4713057577610016
9,0.8069852941176471,0.8068746263486369,0.4414458704497932,0.43867174500287665,0.5066795677361355,0.5064582256376793,0.4414458704497932,0.43867174500287665,0.41135432619552437,0.4081962397102342,0.45987704396247864
10,0.8082033345252995,0.807980913748694,0.4394671170438452,0.43720507740399517,0.5100517947744841,0.5112117093551687,0.4394671170438452,0.43720507740399517,0.4118494568726009,0.40944741433697596,0.459734708070755
